"go_id","hgnc_symbol"
"GO:0001504","SLC1A6"
"GO:0001504","SLC1A7"
"GO:0001504","SLC6A11"
"GO:0001504","SLC6A3"
"GO:0001504","SLC6A5"
"GO:0001504","SLC6A9"
"GO:0007416","ADD2"
"GO:0007416","ADGRL3"
"GO:0007416","CADM1"
"GO:0007416","CDH9"
"GO:0007416","ERBB4"
"GO:0007416","NRG3"
"GO:0007416","NRXN1"
"GO:0007416","SYDE1;SYDE2"
"GO:0007416","TRAF6"
"GO:0008039","PLXND1"
"GO:0008039","SEMA3A"
"GO:0008039","YWHAZ"
"GO:0008089","KIF21A"
"GO:0008089","KIF2A"
"GO:0008089","RAB21"
"GO:0010807","BRSK1"
"GO:0010807","NAPA"
"GO:0010807","NAPB"
"GO:0010807","OSBPL2"
"GO:0010807","STXBP5"
"GO:0010807","SYNGR3"
"GO:0010807","SYP"
"GO:0016079","MCTP2;MCTP1"
"GO:0016079","OTOF"
"GO:0016079","PPFIA3"
"GO:0016079","RELN"
"GO:0016079","SNAP25"
"GO:0016079","STX1A"
"GO:0016079","STX1B"
"GO:0016079","STX3"
"GO:0016079","UNC13A"
"GO:0016079","UNC13B"
"GO:0016079","UNC13C"
"GO:0016079","VAMP2"
"GO:0016079","VAMP7"
"GO:0016081","CTBP2"
"GO:0016081","PPFIA3"
"GO:0016081","RIMS1"
"GO:0016081","RIMS2"
"GO:0016081","VAMP2"
"GO:0016082","CADPS"
"GO:0016082","CADPS2"
"GO:0016082","EFR3A"
"GO:0016082","ERC1"
"GO:0016082","ERC2"
"GO:0016082","NAPA"
"GO:0016082","OTOF"
"GO:0016082","RIMS1"
"GO:0016082","RIMS2"
"GO:0016082","RPH3A"
"GO:0016082","STXBP1"
"GO:0016082","SV2A"
"GO:0016082","VAMP1"
"GO:0016182","AP1G1"
"GO:0016182","AP1S2"
"GO:0016182","AP3D1"
"GO:0016182","BTBD8"
"GO:0016189","STX12"
"GO:0016189","STX6"
"GO:0016189","STX7"
"GO:0016189","VAMP4"
"GO:0016189","VTI1A"
"GO:0016191","DNAJC6"
"GO:0016191","HSPA8"
"GO:0016191","SYNJ1"
"GO:0031629","STX1B"
"GO:0031630","CPLX1"
"GO:0031630","CPLX2"
"GO:0031630","CPLX3"
"GO:0031630","RAB3A"
"GO:0031630","VAMP1"
"GO:0042135","ACHE"
"GO:0042135","COMT"
"GO:0042136","GAD1"
"GO:0042136","GAD2"
"GO:0048488","AMPH"
"GO:0048488","AP1G1"
"GO:0048488","AP2A1"
"GO:0048488","AP2A1;AP2A2"
"GO:0048488","AP2A2"
"GO:0048488","AP2B1"
"GO:0048488","AP2M1"
"GO:0048488","AP2S1"
"GO:0048488","AP3B2"
"GO:0048488","AP3M2"
"GO:0048488","ARF6"
"GO:0048488","ATP8A1"
"GO:0048488","BIN1"
"GO:0048488","BTBD8"
"GO:0048488","CACFD1"
"GO:0048488","CANX"
"GO:0048488","CAPN2"
"GO:0048488","CLTA"
"GO:0048488","CLTB"
"GO:0048488","CLTC"
"GO:0048488","CTBP1"
"GO:0048488","DENND1A"
"GO:0048488","DIAPH1"
"GO:0048488","DNM1"
"GO:0048488","DNM1L"
"GO:0048488","DNM2"
"GO:0048488","DNM3"
"GO:0048488","EHD1"
"GO:0048488","EPN1"
"GO:0048488","EPS15;EPS15L1"
"GO:0048488","EPS15L1"
"GO:0048488","FCHO2"
"GO:0048488","ITSN1"
"GO:0048488","PACSIN1"
"GO:0048488","PICALM"
"GO:0048488","PIK3C3"
"GO:0048488","RAB27B"
"GO:0048488","RAB5A"
"GO:0048488","SCRIB"
"GO:0048488","SGIP1"
"GO:0048488","SH3GL2"
"GO:0048488","SNAP91"
"GO:0048488","SNCA"
"GO:0048488","SNCB"
"GO:0048488","STON2"
"GO:0048488","SYNJ2"
"GO:0048490","KIF1A"
"GO:0048490","MADD"
"GO:0050804","ABR"
"GO:0050804","ADCY1"
"GO:0050804","ADCY8"
"GO:0050804","AKAP12"
"GO:0050804","AKAP7"
"GO:0050804","ARC"
"GO:0050804","ARHGAP44"
"GO:0050804","ARRB2"
"GO:0050804","BAIAP2"
"GO:0050804","BAIAP3"
"GO:0050804","BCR"
"GO:0050804","BTBD9"
"GO:0050804","CAMKV"
"GO:0050804","CDH11"
"GO:0050804","CDH2"
"GO:0050804","CDKL5"
"GO:0050804","CFL1"
"GO:0050804","CHMP2B"
"GO:0050804","CNTNAP4"
"GO:0050804","CPEB1"
"GO:0050804","CYP46A1"
"GO:0050804","DGKB"
"GO:0050804","DGKE"
"GO:0050804","DLGAP1"
"GO:0050804","DLGAP2"
"GO:0050804","DLGAP3"
"GO:0050804","DNM1"
"GO:0050804","EPHA7"
"GO:0050804","EPHB1"
"GO:0050804","FYN"
"GO:0050804","GABRR1"
"GO:0050804","GLRA2"
"GO:0050804","GNAI2"
"GO:0050804","GPER1"
"GO:0050804","GRM5"
"GO:0050804","HNRNPK"
"GO:0050804","IGSF8"
"GO:0050804","IQSEC2"
"GO:0050804","ITGB1"
"GO:0050804","JAK2"
"GO:0050804","KCNN2"
"GO:0050804","L1CAM"
"GO:0050804","LRFN2"
"GO:0050804","LRRC4"
"GO:0050804","LRRC4C"
"GO:0050804","LYPD6"
"GO:0050804","MAPK3"
"GO:0050804","MAPK8"
"GO:0050804","MAPK9"
"GO:0050804","MYO5B"
"GO:0050804","NCAM1"
"GO:0050804","NCAN"
"GO:0050804","NLGN4X"
"GO:0050804","NRG3"
"GO:0050804","NTNG1"
"GO:0050804","NTNG2"
"GO:0050804","NXPH1"
"GO:0050804","NXPH4"
"GO:0050804","P2RX3"
"GO:0050804","PACSIN2"
"GO:0050804","PAFAH1B1"
"GO:0050804","PCDH8"
"GO:0050804","PDE4A"
"GO:0050804","PFN1"
"GO:0050804","PFN2"
"GO:0050804","PLCB4"
"GO:0050804","PLCG1"
"GO:0050804","PLPPR4"
"GO:0050804","PPP1R9A"
"GO:0050804","PRKAR1B"
"GO:0050804","PRKAR2A"
"GO:0050804","PRKAR2B"
"GO:0050804","PTN"
"GO:0050804","PTPRA"
"GO:0050804","PTPRD"
"GO:0050804","PTPRS"
"GO:0050804","RGS14"
"GO:0050804","ROR2"
"GO:0050804","RPS6KB1"
"GO:0050804","RTN4"
"GO:0050804","SHANK1"
"GO:0050804","SHANK3"
"GO:0050804","SLC6A6"
"GO:0050804","STAT3"
"GO:0050804","STAU1"
"GO:0050804","STX3"
"GO:0050804","SYNGAP1"
"GO:0050804","SYNGR1"
"GO:0050804","SYNPR"
"GO:0050804","SYP"
"GO:0050804","TNR"
"GO:0050804","TRIO"
"GO:0050804","TRPC1"
"GO:0050804","TUBB2B"
"GO:0050804","UBE2I"
"GO:0050804","UBE3A"
"GO:0050804","VGF"
"GO:0050804","VPS35"
"GO:0050804","WNK1"
"GO:0050804","WNT3A"
"GO:0050804","WNT5A"
"GO:0050807","AGRN"
"GO:0050807","APOE"
"GO:0050807","ARF4"
"GO:0050807","CAMK1"
"GO:0050807","CDH8"
"GO:0050807","CNTNAP4"
"GO:0050807","CSNK2B"
"GO:0050807","CTTNBP2"
"GO:0050807","DAG1"
"GO:0050807","GPM6A"
"GO:0050807","MECP2"
"GO:0050807","NCKAP1"
"GO:0050807","NECTIN1"
"GO:0050807","PTPRO"
"GO:0050807","PTPRT"
"GO:0050807","RIMS3"
"GO:0050807","RIMS4"
"GO:0050807","SEMA3A"
"GO:0050807","SEPTIN11"
"GO:0050807","SLITRK1"
"GO:0050807","SLITRK2"
"GO:0050807","SLITRK4"
"GO:0050807","SPARC"
"GO:0050807","SPARCL1"
"GO:0050807","TUBA1A"
"GO:0050807","TUBB"
"GO:0050807","VCP"
"GO:0050807","WNT3A"
"GO:0050807","WNT5A"
"GO:0050808","ADGRL2"
"GO:0050808","ADGRL3"
"GO:0050808","APBB1"
"GO:0050808","CD2AP"
"GO:0050808","FLNA"
"GO:0050808","NBEA"
"GO:0050808","NFASC"
"GO:0050808","PTPRS"
"GO:0051580","ARL6IP5"
"GO:0051580","DRD2"
"GO:0051580","DRD3"
"GO:0051580","FLOT1"
"GO:0051580","SYNGR3"
"GO:0051963","CHD4"
"GO:0051963","CRTAC1"
"GO:0051963","CTNNB1"
"GO:0051963","ELAVL2"
"GO:0051963","EPHB2"
"GO:0051963","EXOC7"
"GO:0051963","ICAM5"
"GO:0051963","L1CAM"
"GO:0051963","LRRTM4"
"GO:0051963","NLGN4X"
"GO:0051963","NRG2"
"GO:0051963","NTN1"
"GO:0051963","OGT"
"GO:0051963","PODXL"
"GO:0051963","PPFIBP2"
"GO:0051963","RAP2A"
"GO:0051963","RTN4R"
"GO:0051963","SDC2"
"GO:0051963","SEMA4D"
"GO:0051963","SRCIN1"
"GO:0051963","SRGAP2"
"GO:0051963","SRGAP2B"
"GO:0051963","SRGAP2C"
"GO:0051963","SRPX2"
"GO:0051963","VLDLR"
"GO:0060074","ABL2"
"GO:0060074","BCAN"
"GO:0060074","LNX1"
"GO:0060074","PFN1"
"GO:0060074","ROBO2"
"GO:0060074","SLIT2"
"GO:0060074","VEZT"
"GO:0060078","ANO6"
"GO:0060078","CHRM1"
"GO:0060078","DPP6"
"GO:0060078","HCN1"
"GO:0060078","KCNIP1"
"GO:0060078","KCNIP2"
"GO:0060078","KCNIP3"
"GO:0060078","KCNT1"
"GO:0060078","NOS1"
"GO:0060078","NR3C2"
"GO:0060078","RGS7"
"GO:0060078","RGS7BP"
"GO:0090128","ADGRB3"
"GO:0090128","AGO2"
"GO:0090128","C1QL2"
"GO:0090128","CAMK2B"
"GO:0090128","CLSTN1"
"GO:0090128","CNTNAP1"
"GO:0090128","DAB1"
"GO:0090128","DLGAP4"
"GO:0090128","EXOC2"
"GO:0090128","FGF22"
"GO:0090128","FGF7"
"GO:0090128","IGSF9"
