"go_id","go_label"
"GO:0001504","neurotransmitter uptake (GO:0001504) [BP]"
"GO:0007416","synapse assembly (GO:0007416) [BP]"
"GO:0008039","synaptic target recognition (GO:0008039) [BP]"
"GO:0008089","anterograde axonal transport (GO:0008089) [BP]"
"GO:0010807","regulation of synaptic vesicle priming (GO:0010807) [BP]"
"GO:0016079","synaptic vesicle exocytosis (GO:0016079) [BP]"
"GO:0016081","synaptic vesicle docking (GO:0016081) [BP]"
"GO:0016082","synaptic vesicle priming (GO:0016082) [BP]"
"GO:0016182","synaptic vesicle budding from endosome (GO:0016182) [BP]"
"GO:0016189","synaptic vesicle to endosome fusion (GO:0016189) [BP]"
"GO:0016191","synaptic vesicle uncoating (GO:0016191) [BP]"
"GO:0031629","synaptic vesicle fusion to presynaptic active zone membrane (GO:0031629) [BP]"
"GO:0031630","regulation of synaptic vesicle fusion to presynaptic active zone membrane (GO:0031630) [BP]"
"GO:0042135","neurotransmitter catabolic process (GO:0042135) [BP]"
"GO:0042136","neurotransmitter biosynthetic process (GO:0042136) [BP]"
"GO:0048488","synaptic vesicle endocytosis (GO:0048488) [BP]"
"GO:0048490","anterograde synaptic vesicle transport (GO:0048490) [BP]"
"GO:0050804","modulation of chemical synaptic transmission (GO:0050804) [BP]"
"GO:0050807","regulation of synapse organization (GO:0050807) [BP]"
"GO:0050808","synapse organization (GO:0050808) [BP]"
"GO:0051580","regulation of neurotransmitter uptake (GO:0051580) [BP]"
"GO:0051963","regulation of synapse assembly (GO:0051963) [BP]"
"GO:0060074","synapse maturation (GO:0060074) [BP]"
"GO:0060078","regulation of postsynaptic membrane potential (GO:0060078) [BP]"
"GO:0090128","regulation of synapse maturation (GO:0090128) [BP]"
"GO:0097091","synaptic vesicle clustering (GO:0097091) [BP]"
"GO:0097104","postsynaptic membrane assembly (GO:0097104) [BP]"
"GO:0097107","postsynaptic density assembly (GO:0097107) [BP]"
"GO:0097401","synaptic vesicle proton loading (GO:0097401) [BP]"
"GO:0098693","regulation of synaptic vesicle cycle (GO:0098693) [BP]"
"GO:0098694","regulation of synaptic vesicle budding from presynaptic endocytic zone membrane (GO:0098694) [BP]"
"GO:0098695","inositol 1,4,5-trisphosphate receptor activity involved in regulation of postsynaptic cytosolic calcium levels (GO:0098695) [BP]"
"GO:0098696","regulation of neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0098696) [BP]"
"GO:0098698","postsynaptic specialization assembly (GO:0098698) [BP]"
"GO:0098699","structural constituent of presynaptic actin cytoskeleton (GO:0098699) [BP]"
"GO:0098700","synaptic vesicle neurotransmitter loading (GO:0098700) [BP]"
"GO:0098810","neurotransmitter reuptake (GO:0098810) [BP]"
"GO:0098872","G-protein coupled neurotransmitter receptor activity involved in regulation of postsynaptic cytosolic calcium levels (GO:0098872) [BP]"
"GO:0098879","structural constituent of postsynaptic specialization (GO:0098879) [BP]"
"GO:0098880","maintenance of postsynaptic specialization structure (GO:0098880) [BP]"
"GO:0098882","structural constituent of active zone (GO:0098882) [BP]"
"GO:0098883","synapse disassembly (GO:0098883) [BP]"
"GO:0098884","postsynaptic neurotransmitter receptor endocytosis (GO:0098884) [BP]"
"GO:0098885","modification of postsynaptic actin cytoskeleton (GO:0098885) [BP]"
"GO:0098887","neurotransmitter receptor transport, endosome to postsynaptic membrane (GO:0098887) [BP]"
"GO:0098919","structural constituent of postsynaptic density (GO:0098919) [BP]"
"GO:0098921","retrograde trans-synaptic signaling by endocannabinoid (GO:0098921) [BP]"
"GO:0098925","retrograde trans-synaptic signaling by nitric oxide, modulating synaptic transmission (GO:0098925) [BP]"
"GO:0098926","postsynaptic signaling pathway (GO:0098926) [BP]"
"GO:0098928","presynaptic signaling pathway (GO:0098928) [BP]"
"GO:0098930","axonal transport (GO:0098930) [BP]"
"GO:0098934","retrograde dendritic transport (GO:0098934) [BP]"
"GO:0098935","dendritic transport (GO:0098935) [BP]"
"GO:0098937","anterograde dendritic transport (GO:0098937) [BP]"
"GO:0098939","dendritic transport of mitochondrion (GO:0098939) [BP]"
"GO:0098942","retrograde trans-synaptic signaling by trans-synaptic protein complex (GO:0098942) [BP]"
"GO:0098943","neurotransmitter receptor transport, postsynaptic endosome to lysosome (GO:0098943) [BP]"
"GO:0098962","regulation of postsynaptic neurotransmitter receptor activity (GO:0098962) [BP]"
"GO:0098963","dendritic transport of messenger ribonucleoprotein complex (GO:0098963) [BP]"
"GO:0098964","anterograde dendritic transport of messenger ribonucleoprotein complex (GO:0098964) [BP]"
"GO:0098967","exocytic insertion of neurotransmitter receptor to postsynaptic membrane (GO:0098967) [BP]"
"GO:0098968","neurotransmitter receptor transport postsynaptic membrane to endosome (GO:0098968) [BP]"
"GO:0098969","neurotransmitter receptor transport to postsynaptic membrane (GO:0098969) [BP]"
"GO:0098970","postsynaptic neurotransmitter receptor diffusion trapping (GO:0098970) [BP]"
"GO:0098971","anterograde dendritic transport of neurotransmitter receptor complex (GO:0098971) [BP]"
"GO:0098973","structural constituent of postsynaptic actin cytoskeleton (GO:0098973) [BP]"
"GO:0098974","postsynaptic actin cytoskeleton organization (GO:0098974) [BP]"
"GO:0098987","regulation of modification of synapse structure, modulating synaptic transmission (GO:0098987) [BP]"
"GO:0099010","modification of postsynaptic structure (GO:0099010) [BP]"
"GO:0099054","presynapse assembly (GO:0099054) [BP]"
"GO:0099072","regulation of postsynaptic membrane neurotransmitter receptor levels (GO:0099072) [BP]"
"GO:0099084","postsynaptic specialization organization (GO:0099084) [BP]"
"GO:0099088","axonal transport of messenger ribonucleoprotein complex (GO:0099088) [BP]"
"GO:0099089","establishment of endoplasmic reticulum localization to postsynapse (GO:0099089) [BP]"
"GO:0099140","presynaptic actin cytoskeleton organization (GO:0099140) [BP]"
"GO:0099145","regulation of exocytic insertion of neurotransmitter receptor to postsynaptic membrane (GO:0099145) [BP]"
"GO:0099148","regulation of synaptic vesicle docking (GO:0099148) [BP]"
"GO:0099149","regulation of postsynaptic neurotransmitter receptor endocytosis (GO:0099149) [BP]"
"GO:0099150","regulation of postsynaptic specialization assembly (GO:0099150) [BP]"
"GO:0099151","regulation of postsynaptic density assembly (GO:0099151) [BP]"
"GO:0099152","regulation of neurotransmitter receptor transport, endosome to postsynaptic membrane (GO:0099152) [BP]"
"GO:0099157","trans-synaptic signalling via exosome (GO:0099157) [BP]"
"GO:0099158","regulation of recycling endosome localization within postsynapse (GO:0099158) [BP]"
"GO:0099159","regulation of modification of postsynaptic structure (GO:0099159) [BP]"
"GO:0099161","regulation of presynaptic dense core vesicle exocytosis (GO:0099161) [BP]"
"GO:0099162","regulation of synaptic vesicle neurotransmitter loading (GO:0099162) [BP]"
"GO:0099163","synaptic signaling by nitric oxide (GO:0099163) [BP]"
"GO:0099170","postsynaptic modulation of chemical synaptic transmission (GO:0099170) [BP]"
"GO:0099171","presynaptic modulation of chemical synaptic transmission (GO:0099171) [BP]"
"GO:0099173","postsynapse organization (GO:0099173) [BP]"
"GO:0099174","regulation of presynapse organization (GO:0099174) [BP]"
"GO:0099175","regulation of postsynapse organization (GO:0099175) [BP]"
"GO:0099178","regulation of retrograde trans-synaptic signaling by endocanabinoid (GO:0099178) [BP]"
"GO:0099179","regulation of synaptic membrane adhesion (GO:0099179) [BP]"
"GO:0099180","zinc ion import into synaptic vesicle (GO:0099180) [BP]"
"GO:0099181","structural constituent of presynapse (GO:0099181) [BP]"
"GO:0099183","trans-synaptic signaling by BDNF, modulating synaptic transmission (GO:0099183) [BP]"
"GO:0099184","structural constituent of postsynaptic intermediate filament cytoskeleton (GO:0099184) [BP]"
"GO:0099186","structural constituent of postsynapse (GO:0099186) [BP]"
"GO:0099187","presynaptic cytoskeleton organization (GO:0099187) [BP]"
"GO:0099188","postsynaptic cytoskeleton organization (GO:0099188) [BP]"
"GO:0099190","postsynaptic spectrin-associated cytoskeleton organization (GO:0099190) [BP]"
"GO:0099502","calcium-dependent activation of synaptic vesicle fusion (GO:0099502) [BP]"
"GO:0099504","synaptic vesicle cycle (GO:0099504) [BP]"
"GO:0099505","regulation of presynaptic membrane potential (GO:0099505) [BP]"
"GO:0099507","ligand-gated ion channel activity involved in regulation of presynaptic membrane potential (GO:0099507) [BP]"
"GO:0099508","voltage-gated ion channel activity involved in regulation of presynaptic membrane potential (GO:0099508) [BP]"
"GO:0099509","regulation of presynaptic cytosolic calcium levels (GO:0099509) [BP]"
"GO:0099525","presynaptic dense core vesicle exocytosis (GO:0099525) [BP]"
"GO:0099526","presynapse to nucleus signaling pathway (GO:0099526) [BP]"
"GO:0099527","postsynapse to nucleus signaling pathway (GO:0099527) [BP]"
"GO:0099532","synaptic vesicle endosomal processing (GO:0099532) [BP]"
"GO:0099534","calcium ion binding involved in regulation of presynaptic cytosolic calcium levels (GO:0099534) [BP]"
"GO:0099537","trans-synaptic signaling (GO:0099537) [BP]"
"GO:0099538","synaptic signaling via neuropeptide (GO:0099538) [BP]"
"GO:0099540","trans-synaptic signaling by neuropeptide (GO:0099540) [BP]"
"GO:0099545","trans-synaptic signaling by trans-synaptic complex (GO:0099545) [BP]"
"GO:0099546","protein catabolic process, modulating synaptic transmission (GO:0099546) [BP]"
"GO:0099547","regulation of translation at synapse, modulating synaptic transmission (GO:0099547) [BP]"
"GO:0099550","trans-synaptic signaling, modulating synaptic transmission (GO:0099550) [BP]"
"GO:0099553","trans-synaptic signaling by endocannabinoid, modulating synaptic transmission (GO:0099553) [BP]"
"GO:0099557","trans-synaptic signaling by trans-synaptic complex, modulating synaptic transmission (GO:0099557) [BP]"
"GO:0099558","maintenance of synapse structure (GO:0099558) [BP]"
"GO:0099559","maintenance of alignment of postsynaptic density and presynaptic active zone (GO:0099559) [BP]"
"GO:0099560","synapse adhesion between pre- and post-synapse (GO:0099560) [BP]"
"GO:0099562","maintenance of postsynaptic density structure (GO:0099562) [BP]"
"GO:0099564","modification of synaptic structure, modulating synaptic transmission (GO:0099564) [BP]"
"GO:0099565","postsynaptic process involved in chemical synaptic transmission (GO:0099565) [BP]"
"GO:0099566","regulation of postsynaptic cytosolic calcium levels (GO:0099566) [BP]"
"GO:0099567","calcium ion binding involved in regulation of postsynaptic cytosolic calcium levels (GO:0099567) [BP]"
"GO:0099574","regulation of protein catabolic process at synapse, modulating synaptic transmission (GO:0099574) [BP]"
"GO:0099575","regulation of protein catabolic process at presynapse, modulating synaptic transmission (GO:0099575) [BP]"
"GO:0099576","regulation of protein catabolic process at postsynapse, modulating synaptic transmission (GO:0099576) [BP]"
"GO:0099577","regulation of translation at presynapse, modulating synaptic transmission (GO:0099577) [BP]"
"GO:0099578","regulation of translation at postsynapse, modulating synaptic transmission (GO:0099578) [BP]"
"GO:0099579","G protein-coupled neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential (GO:0099579) [BP]"
"GO:0099626","voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels (GO:0099626) [BP]"
"GO:0099639","neurotransmitter receptor transport, endosome to plasma membrane (GO:0099639) [BP]"
"GO:0099641","anterograde axonal protein transport (GO:0099641) [BP]"
"GO:0099645","neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0099645) [BP]"
"GO:0140231","anterograde axonal transport of neurotransmitter receptor complex (GO:0140231) [BP]"
"GO:0140232","intracellular cAMP-activated cation channel activity involved in regulation of presynaptic membrane potential (GO:0140232) [BP]"
"GO:0140235","RNA polyadenylation at postsynapse (GO:0140235) [BP]"
"GO:0140236","translation at presynapse (GO:0140236) [BP]"
"GO:0140238","presynaptic endocytosis (GO:0140238) [BP]"
"GO:0140239","postsynaptic endocytosis (GO:0140239) [BP]"
"GO:0140242","translation at postsynapse (GO:0140242) [BP]"
"GO:0140245","regulation of translation at postsynapse (GO:0140245) [BP]"
"GO:0140247","protein catabolic process at presynapse (GO:0140247) [BP]"
"GO:0140249","protein catabolic process at postsynapse (GO:0140249) [BP]"
"GO:0140251","regulation protein catabolic process at presynapse (GO:0140251) [BP]"
"GO:0140252","regulation protein catabolic process at postsynapse (GO:0140252) [BP]"
"GO:0150035","regulation of trans-synaptic signaling by BDNF, modulating synaptic transmission (GO:0150035) [BP]"
"GO:0150036","regulation of trans-synaptic signaling by endocannabinoid, modulating synaptic transmission (GO:0150036) [BP]"
