"hgnc_id","hgnc_symbol","hgnc_name","hgnc_synonyms","ensembl_id","entrez_id","uniprot_id","go_id","go_domain","go_name","go_shortname","go_parent_id","go_name_hier"
"HGNC:10944","SLC1A6","solute carrier family 1 member 6","EAAT4","ENSG00000105143",6511,"P48664","GO:0001504","BP","neurotransmitter uptake (GO:0001504)","NT uptake","SYNGO:presynprocess","│  ├─ neurotransmitter uptake (GO:0001504)"
"HGNC:10945","SLC1A7","solute carrier family 1 member 7","EAAT5","ENSG00000162383",6512,"O00341","GO:0001504","BP","neurotransmitter uptake (GO:0001504)","NT uptake","SYNGO:presynprocess","│  ├─ neurotransmitter uptake (GO:0001504)"
"HGNC:11044","SLC6A11","solute carrier family 6 member 11","GAT3","ENSG00000132164",6538,"P31650","GO:0001504","BP","neurotransmitter uptake (GO:0001504)","NT uptake","SYNGO:presynprocess","│  ├─ neurotransmitter uptake (GO:0001504)"
"HGNC:11049","SLC6A3","solute carrier family 6 member 3","DAT","ENSG00000142319",6531,"Q61327","GO:0001504","BP","neurotransmitter uptake (GO:0001504)","NT uptake","SYNGO:presynprocess","│  ├─ neurotransmitter uptake (GO:0001504)"
"HGNC:11051","SLC6A5","solute carrier family 6 member 5","GLYT-2","ENSG00000165970",9152,"Q761V0","GO:0001504","BP","neurotransmitter uptake (GO:0001504)","NT uptake","SYNGO:presynprocess","│  ├─ neurotransmitter uptake (GO:0001504)"
"HGNC:11056","SLC6A9","solute carrier family 6 member 9","GLYT-1","ENSG00000196517",6536,"P28571","GO:0001504","BP","neurotransmitter uptake (GO:0001504)","NT uptake","SYNGO:presynprocess","│  ├─ neurotransmitter uptake (GO:0001504)"
"HGNC:244","ADD2","adducin 2","ADDB","ENSG00000075340",119,"Q9QYB8","GO:0007416","BP","synapse assembly (GO:0007416)","synapse assembly","GO:0050808","│  ├─ synapse assembly (GO:0007416)"
"HGNC:20974","ADGRL3","adhesion G protein-coupled receptor L3","KIAA0768, LEC3, LPHN3","ENSG00000150471",23284,"Q80TS3","GO:0007416","BP","synapse assembly (GO:0007416)","synapse assembly","GO:0050808","│  ├─ synapse assembly (GO:0007416)"
"HGNC:5951","CADM1","cell adhesion molecule 1","NECL2, ST17, BL2, SYNCAM, IGSF4A, NECL-2, SYNCAM1, RA175, TSLC1, IGSF4","ENSG00000182985",23705,"Q8R5M8","GO:0007416","BP","synapse assembly (GO:0007416)","synapse assembly","GO:0050808","│  ├─ synapse assembly (GO:0007416)"
"HGNC:1768","CDH9","cadherin 9",NA,"ENSG00000113100",1007,"P70407","GO:0007416","BP","synapse assembly (GO:0007416)","synapse assembly","GO:0050808","│  ├─ synapse assembly (GO:0007416)"
"HGNC:3432","ERBB4","erb-b2 receptor tyrosine kinase 4","ALS19, HER4","ENSG00000178568",2066,"Q61527","GO:0007416","BP","synapse assembly (GO:0007416)","synapse assembly","GO:0050808","│  ├─ synapse assembly (GO:0007416)"
"HGNC:7999","NRG3","neuregulin 3",NA,"ENSG00000185737",10718,"O35181","GO:0007416","BP","synapse assembly (GO:0007416)","synapse assembly","GO:0050808","│  ├─ synapse assembly (GO:0007416)"
"HGNC:8008","NRXN1","neurexin 1","KIAA0578, HS.22998","ENSG00000179915",9378,"Q9CS84","GO:0007416","BP","synapse assembly (GO:0007416)","synapse assembly","GO:0050808","│  ├─ synapse assembly (GO:0007416)"
"HGNC:25824;HGNC:25841","SYDE1;SYDE2",NA,NA,NA,NA,"Q9V9S7","GO:0007416","BP","synapse assembly (GO:0007416)","synapse assembly","GO:0050808","│  ├─ synapse assembly (GO:0007416)"
"HGNC:12036","TRAF6","TNF receptor associated factor 6","RNF85","ENSG00000175104",7189,"B5DF45","GO:0007416","BP","synapse assembly (GO:0007416)","synapse assembly","GO:0050808","│  ├─ synapse assembly (GO:0007416)"
"HGNC:9107","PLXND1","plexin D1","KIAA0620","ENSG00000004399",23129,"Q3UH93","GO:0008039","BP","synaptic target recognition (GO:0008039)","synaptic target recognition","GO:0050808","│  ├─ synaptic target recognition (GO:0008039)"
"HGNC:10723","SEMA3A","semaphorin 3A","SEMA1, SEMD, COLL-1, HSEMA-I, SEMAD","ENSG00000075213",10371,"O08665","GO:0008039","BP","synaptic target recognition (GO:0008039)","synaptic target recognition","GO:0050808","│  ├─ synaptic target recognition (GO:0008039)"
"HGNC:12855","YWHAZ","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta","KCIP-1, 14-3-3-ZETA, YWHAD","ENSG00000164924",7534,"P63101","GO:0008039","BP","synaptic target recognition (GO:0008039)","synaptic target recognition","GO:0050808","│  ├─ synaptic target recognition (GO:0008039)"
"HGNC:19349","KIF21A","kinesin family member 21A","FLJ20052, FEOM1","ENSG00000139116",55605,"D3ZCG2","GO:0008089","BP","anterograde axonal transport (GO:0008089)","anterograde","GO:0098930","│  │  ├─ anterograde axonal transport (GO:0008089)"
"HGNC:6318","KIF2A","kinesin family member 2A","KIF2","ENSG00000068796",3796,"Q9WV63","GO:0008089","BP","anterograde axonal transport (GO:0008089)","anterograde","GO:0098930","│  │  ├─ anterograde axonal transport (GO:0008089)"
"HGNC:18263","RAB21","RAB21, member RAS oncogene family","KIAA0118","ENSG00000080371",23011,"Q9UL25","GO:0008089","BP","anterograde axonal transport (GO:0008089)","anterograde","GO:0098930","│  │  ├─ anterograde axonal transport (GO:0008089)"
"HGNC:18994","BRSK1","BR serine/threonine kinase 1","KIAA1811, SAD-B","ENSG00000160469",84446,"B2DD29","GO:0010807","BP","regulation of synaptic vesicle priming (GO:0010807)","regulation of","GO:0016082","│  │  │     └─ regulation of synaptic vesicle priming (GO:0010807)"
"HGNC:7641","NAPA","NSF attachment protein alpha",NA,"ENSG00000105402",8775,"Q9DB05","GO:0010807","BP","regulation of synaptic vesicle priming (GO:0010807)","regulation of","GO:0016082","│  │  │     └─ regulation of synaptic vesicle priming (GO:0010807)"
"HGNC:15751","NAPB","NSF attachment protein beta","SNAP-BETA, SNAPB","ENSG00000125814",63908,"P28663","GO:0010807","BP","regulation of synaptic vesicle priming (GO:0010807)","regulation of","GO:0016082","│  │  │     └─ regulation of synaptic vesicle priming (GO:0010807)"
"HGNC:15761","OSBPL2","oxysterol binding protein like 2","KIAA0772, ORP-2, DFNA67","ENSG00000130703",9885,"Q9H1P3","GO:0010807","BP","regulation of synaptic vesicle priming (GO:0010807)","regulation of","GO:0016082","│  │  │     └─ regulation of synaptic vesicle priming (GO:0010807)"
"HGNC:19665","STXBP5","syntaxin binding protein 5","TOMOSYN, LLGL3, TOMOSYN-1","ENSG00000164506",134957,"Q49HI3","GO:0010807","BP","regulation of synaptic vesicle priming (GO:0010807)","regulation of","GO:0016082","│  │  │     └─ regulation of synaptic vesicle priming (GO:0010807)"
"HGNC:19665","STXBP5","syntaxin binding protein 5","TOMOSYN, LLGL3, TOMOSYN-1","ENSG00000164506",134957,"Q8K400","GO:0010807","BP","regulation of synaptic vesicle priming (GO:0010807)","regulation of","GO:0016082","│  │  │     └─ regulation of synaptic vesicle priming (GO:0010807)"
"HGNC:11501","SYNGR3","synaptogyrin 3",NA,"ENSG00000127561",9143,"Q8R191","GO:0010807","BP","regulation of synaptic vesicle priming (GO:0010807)","regulation of","GO:0016082","│  │  │     └─ regulation of synaptic vesicle priming (GO:0010807)"
"HGNC:11506","SYP","synaptophysin","MRX96","ENSG00000102003",6855,"Q62277","GO:0010807","BP","regulation of synaptic vesicle priming (GO:0010807)","regulation of","GO:0016082","│  │  │     └─ regulation of synaptic vesicle priming (GO:0010807)"
"HGNC:25636;HGNC:26183","MCTP2;MCTP1",NA,NA,NA,NA,"A1ZBD6","GO:0016079","BP","synaptic vesicle exocytosis (GO:0016079)","exocytosis","GO:0099504","│  │  ├─ synaptic vesicle exocytosis (GO:0016079)"
"HGNC:8515","OTOF","otoferlin","FER1L2, DFNB9","ENSG00000115155",9381,"Q9ESF1","GO:0016079","BP","synaptic vesicle exocytosis (GO:0016079)","exocytosis","GO:0099504","│  │  ├─ synaptic vesicle exocytosis (GO:0016079)"
"HGNC:9247","PPFIA3","PTPRF interacting protein alpha 3","KIAA0654, LPNA3, MGC126567, MGC126569","ENSG00000177380",8541,"P60469","GO:0016079","BP","synaptic vesicle exocytosis (GO:0016079)","exocytosis","GO:0099504","│  │  ├─ synaptic vesicle exocytosis (GO:0016079)"
"HGNC:9957","RELN","reelin","RL, PRO1598","ENSG00000189056",5649,"P58751","GO:0016079","BP","synaptic vesicle exocytosis (GO:0016079)","exocytosis","GO:0099504","│  │  ├─ synaptic vesicle exocytosis (GO:0016079)"
"HGNC:11132","SNAP25","synaptosome associated protein 25","SNAP-25, RIC-4, RIC4, SEC9, BA416N4.2, DJ1068F16.2, SNAP","ENSG00000132639",6616,"P60879","GO:0016079","BP","synaptic vesicle exocytosis (GO:0016079)","exocytosis","GO:0099504","│  │  ├─ synaptic vesicle exocytosis (GO:0016079)"
"HGNC:11132","SNAP25","synaptosome associated protein 25","SNAP-25, RIC-4, RIC4, SEC9, BA416N4.2, DJ1068F16.2, SNAP","ENSG00000132639",6616,"P60881","GO:0016079","BP","synaptic vesicle exocytosis (GO:0016079)","exocytosis","GO:0099504","│  │  ├─ synaptic vesicle exocytosis (GO:0016079)"
"HGNC:11433","STX1A","syntaxin 1A","HPC-1, P35-1, STX1","ENSG00000106089",6804,"P32851","GO:0016079","BP","synaptic vesicle exocytosis (GO:0016079)","exocytosis","GO:0099504","│  │  ├─ synaptic vesicle exocytosis (GO:0016079)"
"HGNC:11433","STX1A","syntaxin 1A","HPC-1, P35-1, STX1","ENSG00000106089",6804,"O35526","GO:0016079","BP","synaptic vesicle exocytosis (GO:0016079)","exocytosis","GO:0099504","│  │  ├─ synaptic vesicle exocytosis (GO:0016079)"
"HGNC:18539","STX1B","syntaxin 1B","STX1B1, STX1B2","ENSG00000099365",112755,"P61264","GO:0016079","BP","synaptic vesicle exocytosis (GO:0016079)","exocytosis","GO:0099504","│  │  ├─ synaptic vesicle exocytosis (GO:0016079)"
"HGNC:11438","STX3","syntaxin 3","STX3A","ENSG00000166900",6809,"D7PBZ9","GO:0016079","BP","synaptic vesicle exocytosis (GO:0016079)","exocytosis","GO:0099504","│  │  ├─ synaptic vesicle exocytosis (GO:0016079)"
"HGNC:23150","UNC13A","unc-13 homolog A","KIAA1032, MUNC13-1","ENSG00000130477",23025,"Q4KUS2","GO:0016079","BP","synaptic vesicle exocytosis (GO:0016079)","exocytosis","GO:0099504","│  │  ├─ synaptic vesicle exocytosis (GO:0016079)"
"HGNC:12566","UNC13B","unc-13 homolog B","HMUNC13, UNC13H2, MUNC13-2, UNC13","ENSG00000198722",10497,"Q9Z1N9","GO:0016079","BP","synaptic vesicle exocytosis (GO:0016079)","exocytosis","GO:0099504","│  │  ├─ synaptic vesicle exocytosis (GO:0016079)"
"HGNC:23149","UNC13C","unc-13 homolog C","MUNC13-3, DKFZP547H074","ENSG00000137766",440279,"Q8K0T7","GO:0016079","BP","synaptic vesicle exocytosis (GO:0016079)","exocytosis","GO:0099504","│  │  ├─ synaptic vesicle exocytosis (GO:0016079)"
"HGNC:12643","VAMP2","vesicle associated membrane protein 2","VAMP-2, SYB2","ENSG00000220205",6844,"P63045","GO:0016079","BP","synaptic vesicle exocytosis (GO:0016079)","exocytosis","GO:0099504","│  │  ├─ synaptic vesicle exocytosis (GO:0016079)"
"HGNC:11486","VAMP7","vesicle associated membrane protein 7","VAMP-7, TI-VAMP, SYBL1","ENSG00000124333",6845,"Q9JHW5","GO:0016079","BP","synaptic vesicle exocytosis (GO:0016079)","exocytosis","GO:0099504","│  │  ├─ synaptic vesicle exocytosis (GO:0016079)"
"HGNC:2495","CTBP2","C-terminal binding protein 2","RIBEYE","ENSG00000175029",1488,"P56546-2","GO:0016081","BP","synaptic vesicle docking (GO:0016081)","docking","GO:0016079","│  │  │  ├─ synaptic vesicle docking (GO:0016081)"
